step,train_loss,tok_s,mem_mb,gpu_alloc_mb,gpu_reserved_mb,gpu_alloc_max_mb,gpu_reserved_max_mb,cpu_rss_mb,psutil_rss_mb,psutil_vms_mb,psutil_shared_mb,psutil_text_mb,psutil_data_mb,psutil_uss_mb,psutil_pss_mb,psutil_swap_mb,psutil_ram_used_mb,psutil_ram_total_mb,val_loss,val_ppl,attn_elems,attn_ratio,attn_reduction,flops_attn_est,flops_total_est,flops_ratio,flops_reduction_pct,attn_lq,attn_lk_per_layer,head_entropy,group_change_rate,avg_window,group_overlap,head_reassign_rate,group_lifespan_ema,head_groups,shadow_win_idx,shadow_logit_mean,group_heads,group_ratios,resolution_mean,resolution_std,resolution_min_frac,resolution_max_frac,resolution_collapse_min,resolution_collapse_max,resolution_delta,branch_usage_freq,attn_ratio_std_ema,flops_ratio_std_ema,lk_mean,lk_p90,w_mean,w_min,w_max,control_time_ms,attn_time_ms,mask_time_ms,overhead_time_ms,step_time_ms,eval_time_s
3050,8.046187,3666.44,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2321.31,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.60,
3100,8.245281,3894.69,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2310.56,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.98,
3150,9.200169,3877.94,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2313.76,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.60,
3200,7.847226,3900.74,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2316.15,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.75,
3250,7.927866,3918.40,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2314.45,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.72,
3300,8.136467,3942.82,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2315.30,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.29,
3350,8.081899,3932.59,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.81,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2317.77,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.24,
3400,7.783587,4020.01,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.82,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2313.02,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,78.49,
3450,7.990347,3963.88,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.82,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2323.34,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,80.22,
3500,7.864286,4018.64,6519.94,6519.94,16870.00,15883.10,16870.00,3386.68,1224.82,34043.84,355.16,2.22,3965.39,1218.15,1220.83,0.00,2307.70,56958.26,,,,,,206158430208.00,3917010173952.00,1.000000,0.0000,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,79.53,
3500,,,,6.868069,961.0913
